Hierarchical Name, Code Type, Nickname, Folder Location, Aggregate, List Order, Name, File Type, Count of Name, Number of Coding References, Sum of Words, Sum of Paragraphs, Sum of Duration
Codes\\Accountability Allocation, Code, , Codes, False, 17, , Document, 6, 1, 218, 23, 
Codes\\Accountability Allocation, Code, , Codes, False, 17, , Document, 5, 2, 226, 12, 
Codes\\Accountability Allocation, Code, , Codes, False, 17, , Document, 7, 3, 598, 39, 
Codes\\Accountability Allocation, Code, , Codes, False, 17, , Document, 8, 4, 1015, 67, 
Codes\\Accountability Allocation, Code, , Codes, False, 17, , Document, 5, 5, 585, 38, 
Codes\\Accountability Allocation, Code, , Codes, False, 17, , Document, 1, 6, 170, 9, 
Codes\\Accountability Allocation, Code, , Codes, False, 17, , Document, 1, 8, 163, 8, 
Codes\\Accountability Allocation\Data Manager Responsibility, Code, , Codes, False, 22, , Document, 10, 1, 98, 10, 
Codes\\Accountability Allocation\Data Manager Responsibility, Code, , Codes, False, 22, , Document, 3, 2, 57, 6, 
Codes\\Accountability Allocation\Human User Liability, Code, , Codes, False, 18, , Document, 9, 1, 197, 13, 
Codes\\Accountability Allocation\Human User Liability, Code, , Codes, False, 18, , Document, 10, 2, 389, 22, 
Codes\\Accountability Allocation\Human User Liability, Code, , Codes, False, 18, , Document, 9, 3, 394, 29, 
Codes\\Accountability Allocation\Human User Liability, Code, , Codes, False, 18, , Document, 2, 4, 92, 8, 
Codes\\Accountability Allocation\Institutional Accountability, Code, , Codes, False, 19, , Document, 13, 1, 225, 16, 
Codes\\Accountability Allocation\Institutional Accountability, Code, , Codes, False, 19, , Document, 10, 2, 378, 22, 
Codes\\Accountability Allocation\Institutional Accountability, Code, , Codes, False, 19, , Document, 1, 3, 43, 3, 
Codes\\Accountability Allocation\Legal Head Responsibility, Code, , Codes, False, 21, , Document, 7, 1, 131, 9, 
Codes\\Accountability Allocation\Legal Head Responsibility, Code, , Codes, False, 21, , Document, 1, 2, 49, 2, 
Codes\\Accountability Allocation\Vendor Responsibility, Code, , Codes, False, 20, , Document, 11, 1, 266, 14, 
Codes\\Accountability Allocation\Vendor Responsibility, Code, , Codes, False, 20, , Document, 7, 2, 211, 14, 
